"codgeo","year0","value0","year1","value1"
"0050","1999-2009",0.80,"2009-2014",0.59
"0051","1999-2009",0.25,"2009-2014",-0.29
"0052","1999-2009",-0.03,"2009-2014",0.19
"0053","1999-2009",0.87,"2009-2014",0.27
"0054","1999-2009",0.17,"2009-2014",-0.50
"0055","1999-2009",0.06,"2009-2014",-0.29
"0056","1999-2009",0.58,"2009-2014",-0.40
"0057","1999-2009",0.70,"2009-2014",0.18
"0059","1999-2009",0.95,"2009-2014",0.19
"0060","1999-2009",0.30,"2009-2014",0.09
"0061","1999-2009",1.73,"2009-2014",0.83
"0101","1999-2009",0.33,"2009-2014",-0.78
"0102","1999-2009",0.04,"2009-2014",-1.08
"0103","1999-2009",-0.63,"2009-2014",-1.07
"0106","1999-2009",1.02,"2009-2014",0.07
"0201","1999-2009",-0.04,"2009-2014",-1.18
"0202","1999-2009",1.67,"2009-2014",-0.21
"0203","1999-2009",0.90,"2009-2014",-1.48
"0204","1999-2009",0.31,"2009-2014",-1.66
"0205","1999-2009",0.09,"2009-2014",-0.58
"0206","1999-2009",-0.76,"2009-2014",-1.23
"0301","1999-2009",2.48,"2009-2014",-0.23
"0302","1999-2009",2.86,"2009-2014",-2.48
"0303","1999-2009",6.49,"2009-2014",1.38
"0401","1999-2009",1.54,"2009-2014",-0.05
"0402","1999-2009",1.17,"2009-2014",-1.01
"0403","1999-2009",1.55,"2009-2014",-0.87
"0404","1999-2009",1.56,"2009-2014",-0.29
"0601","1999-2009",,"2009-2014",
"1101","1999-2009",0.73,"2009-2014",-0.64
"1102","1999-2009",1.55,"2009-2014",0.11
"1103","1999-2009",0.99,"2009-2014",0.42
"1104","1999-2009",0.76,"2009-2014",0.24
"1105","1999-2009",0.69,"2009-2014",-0.02
"1106","1999-2009",0.15,"2009-2014",0.78
"1107","1999-2009",0.27,"2009-2014",-0.05
"1108","1999-2009",0.74,"2009-2014",-0.23
"1109","1999-2009",0.95,"2009-2014",0.15
"1110","1999-2009",0.43,"2009-2014",-0.18
"1111","1999-2009",0.38,"2009-2014",-0.79
"1112","1999-2009",0.78,"2009-2014",-0.24
"1113","1999-2009",0.41,"2009-2014",-0.18
"1114","1999-2009",0.52,"2009-2014",0.77
"1115","1999-2009",0.87,"2009-2014",-0.13
"1116","1999-2009",0.38,"2009-2014",-0.32
"1117","1999-2009",0.68,"2009-2014",-0.15
"1118","1999-2009",0.82,"2009-2014",0.09
"1119","1999-2009",0.59,"2009-2014",-0.43
"2101","1999-2009",-0.37,"2009-2014",-0.53
"2102","1999-2009",0.38,"2009-2014",0.10
"2103","1999-2009",0.11,"2009-2014",-0.36
"2104","1999-2009",0.06,"2009-2014",-0.21
"2105","1999-2009",0.06,"2009-2014",-0.12
"2106","1999-2009",-0.31,"2009-2014",-0.47
"2107","1999-2009",-0.64,"2009-2014",-0.29
"2201","1999-2009",0.57,"2009-2014",-0.14
"2202","1999-2009",-0.02,"2009-2014",-0.34
"2203","1999-2009",-0.31,"2009-2014",-0.23
"2204","1999-2009",0.33,"2009-2014",-0.39
"2205","1999-2009",-0.22,"2009-2014",-0.33
"2206","1999-2009",0.13,"2009-2014",-0.17
"2207","1999-2009",0.55,"2009-2014",0.02
"2208","1999-2009",0.39,"2009-2014",-0.28
"2209","1999-2009",0.36,"2009-2014",-0.18
"2210","1999-2009",0.27,"2009-2014",-0.16
"2211","1999-2009",0.08,"2009-2014",-0.14
"2301","1999-2009",0.48,"2009-2014",0.32
"2302","1999-2009",0.70,"2009-2014",-0.01
"2303","1999-2009",1.21,"2009-2014",1.15
"2304","1999-2009",0.72,"2009-2014",-0.41
"2305","1999-2009",0.19,"2009-2014",-0.25
"2306","1999-2009",-0.18,"2009-2014",-0.42
"2307","1999-2009",0.34,"2009-2014",-0.09
"2401","1999-2009",-0.06,"2009-2014",0.11
"2402","1999-2009",-0.12,"2009-2014",-0.23
"2403","1999-2009",-0.35,"2009-2014",0.39
"2404","1999-2009",0.47,"2009-2014",0.16
"2405","1999-2009",0.20,"2009-2014",-0.21
"2406","1999-2009",0.42,"2009-2014",-0.15
"2407","1999-2009",0.04,"2009-2014",-0.07
"2408","1999-2009",0.03,"2009-2014",-0.58
"2409","1999-2009",0.04,"2009-2014",-0.16
"2410","1999-2009",0.00,"2009-2014",0.10
"2411","1999-2009",0.45,"2009-2014",0.42
"2412","1999-2009",0.66,"2009-2014",0.26
"2413","1999-2009",0.42,"2009-2014",0.25
"2414","1999-2009",-0.04,"2009-2014",0.70
"2415","1999-2009",0.35,"2009-2014",0.14
"2416","1999-2009",0.20,"2009-2014",-0.25
"2417","1999-2009",0.77,"2009-2014",0.29
"2418","1999-2009",0.58,"2009-2014",-0.03
"2419","1999-2009",0.59,"2009-2014",0.35
"2501","1999-2009",0.37,"2009-2014",0.56
"2502","1999-2009",0.53,"2009-2014",0.07
"2503","1999-2009",0.64,"2009-2014",-0.06
"2504","1999-2009",0.22,"2009-2014",-0.31
"2505","1999-2009",0.26,"2009-2014",-0.05
"2506","1999-2009",0.34,"2009-2014",0.10
"2507","1999-2009",0.05,"2009-2014",-0.27
"2508","1999-2009",0.83,"2009-2014",0.21
"2509","1999-2009",0.89,"2009-2014",1.09
"2510","1999-2009",0.44,"2009-2014",0.40
"2511","1999-2009",-0.22,"2009-2014",-0.22
"2512","1999-2009",-0.03,"2009-2014",-0.31
"2513","1999-2009",0.10,"2009-2014",-0.16
"2601","1999-2009",0.41,"2009-2014",-0.43
"2602","1999-2009",-0.75,"2009-2014",-0.20
"2603","1999-2009",0.42,"2009-2014",0.09
"2604","1999-2009",-0.21,"2009-2014",-0.02
"2605","1999-2009",-0.29,"2009-2014",0.23
"2606","1999-2009",-0.30,"2009-2014",-0.43
"2607","1999-2009",-0.62,"2009-2014",-0.10
"2608","1999-2009",0.50,"2009-2014",0.23
"2609","1999-2009",1.13,"2009-2014",0.69
"2610","1999-2009",-0.53,"2009-2014",-0.24
"2611","1999-2009",-0.17,"2009-2014",0.05
"2612","1999-2009",0.15,"2009-2014",-0.28
"2613","1999-2009",-0.11,"2009-2014",-0.08
"2614","1999-2009",0.71,"2009-2014",0.40
"3110","1999-2009",0.04,"2009-2014",-0.50
"3111","1999-2009",0.26,"2009-2014",-0.18
"3112","1999-2009",-0.32,"2009-2014",-0.47
"3113","1999-2009",0.43,"2009-2014",0.14
"3114","1999-2009",0.05,"2009-2014",-0.50
"3115","1999-2009",0.00,"2009-2014",-0.35
"3116","1999-2009",0.11,"2009-2014",0.07
"3117","1999-2009",-0.18,"2009-2014",-0.55
"3121","1999-2009",0.38,"2009-2014",-0.01
"3122","1999-2009",-0.19,"2009-2014",-0.52
"3123","1999-2009",0.16,"2009-2014",-0.17
"3124","1999-2009",0.27,"2009-2014",-0.05
"3125","1999-2009",0.26,"2009-2014",0.22
"3126","1999-2009",-0.03,"2009-2014",-0.45
"3127","1999-2009",0.59,"2009-2014",-0.07
"4101","1999-2009",0.47,"2009-2014",0.26
"4102","1999-2009",0.25,"2009-2014",-0.24
"4103","1999-2009",0.18,"2009-2014",-0.34
"4104","1999-2009",-0.37,"2009-2014",-0.42
"4105","1999-2009",0.28,"2009-2014",-0.49
"4106","1999-2009",0.08,"2009-2014",-0.16
"4107","1999-2009",0.34,"2009-2014",-0.29
"4108","1999-2009",-0.28,"2009-2014",-0.60
"4109","1999-2009",0.32,"2009-2014",-0.19
"4110","1999-2009",0.17,"2009-2014",-0.26
"4111","1999-2009",0.51,"2009-2014",0.18
"4112","1999-2009",0.07,"2009-2014",-0.14
"4113","1999-2009",-0.17,"2009-2014",-0.53
"4114","1999-2009",0.18,"2009-2014",-0.50
"4115","1999-2009",-0.37,"2009-2014",-0.42
"4201","1999-2009",0.81,"2009-2014",-0.06
"4202","1999-2009",0.85,"2009-2014",0.17
"4203","1999-2009",0.55,"2009-2014",-0.32
"4204","1999-2009",1.15,"2009-2014",0.06
"4205","1999-2009",0.48,"2009-2014",-0.14
"4206","1999-2009",0.49,"2009-2014",-0.21
"4207","1999-2009",0.57,"2009-2014",-0.04
"4208","1999-2009",0.45,"2009-2014",-0.19
"4209","1999-2009",0.99,"2009-2014",0.44
"4301","1999-2009",0.80,"2009-2014",-0.01
"4302","1999-2009",0.23,"2009-2014",-0.36
"4303","1999-2009",1.02,"2009-2014",0.58
"4304","1999-2009",1.10,"2009-2014",0.36
"4305","1999-2009",0.52,"2009-2014",-0.23
"4306","1999-2009",0.35,"2009-2014",0.18
"4307","1999-2009",0.18,"2009-2014",-0.72
"4308","1999-2009",0.10,"2009-2014",-0.52
"4309","1999-2009",0.03,"2009-2014",-0.34
"5201","1999-2009",1.58,"2009-2014",0.11
"5202","1999-2009",0.65,"2009-2014",-0.05
"5203","1999-2009",1.14,"2009-2014",0.75
"5204","1999-2009",1.22,"2009-2014",0.89
"5205","1999-2009",0.63,"2009-2014",0.25
"5206","1999-2009",0.65,"2009-2014",0.06
"5207","1999-2009",0.34,"2009-2014",-0.16
"5208","1999-2009",0.53,"2009-2014",0.06
"5209","1999-2009",0.79,"2009-2014",-0.19
"5210","1999-2009",0.35,"2009-2014",-0.23
"5211","1999-2009",0.83,"2009-2014",-0.12
"5212","1999-2009",0.28,"2009-2014",0.05
"5213","1999-2009",0.54,"2009-2014",0.03
"5214","1999-2009",1.03,"2009-2014",-0.18
"5215","1999-2009",1.91,"2009-2014",1.33
"5216","1999-2009",0.65,"2009-2014",0.32
"5217","1999-2009",1.09,"2009-2014",0.38
"5218","1999-2009",1.64,"2009-2014",0.82
"5219","1999-2009",1.41,"2009-2014",1.69
"5301","1999-2009",1.11,"2009-2014",0.72
"5302","1999-2009",0.45,"2009-2014",0.42
"5303","1999-2009",0.83,"2009-2014",0.40
"5304","1999-2009",0.44,"2009-2014",0.06
"5305","1999-2009",0.89,"2009-2014",0.39
"5306","1999-2009",0.42,"2009-2014",0.05
