"codgeo","year1","value1"
"200000172","2018",52.34
"200000438","2018",38.17
"200000545","2018",28.7
"200000628","2018",25.99
"200000800","2018",24.56
"200000925","2018",38.74
"200000933","2018",19.43
"200004802","2018",31.45
"200005932","2018",32.98
"200005957","2018",30.85
"200006682","2018",36.17
"200006716","2018",16.01
"200006930","2018",43.9
"200006971","2018",19.57
"200007052","2018",27.13
"200007177","2018",30.96
"200010650","2018",37
"200010700","2018",41.69
"200011773","2018",42.76
"200011781","2018",3.97
"200012060","2018",54.28
"200013050","2018",45.13
"200015162","2018",39.45
"200016905","2018",46.18
"200017341","2018",51.82
"200017846","2018",33.86
"200018083","2018",39.94
"200018166","2018",34.47
"200018406","2018",18.54
"200018521","2018",26.65
"200018653","2018",30.3
"200022986","2018",33.9
"200023075","2018",40.04
"200023125","2018",16.59
"200023240","2018",29.97
"200023299","2018",35.39
"200023307","2018",34.89
"200023372","2018",56.93
"200023414","2018",40.34
"200023620","2018",38.21
"200023737","2018",48.05
"200023778","2018",33.49
"200023794","2018",40.09
"200023919","2018",23.22
"200026573","2018",35.1
"200027027","2018",40.47
"200027076","2018",49.06
"200027100","2018",23.81
"200027183","2018",40.74
"200027217","2018",38.01
"200027308","2018",77.8
"200027548","2018",19.54
"200029734","2018",60.65
"200029999","2018",36.47
"200030195","2018",42.57
"200030385","2018",36.18
"200030435","2018",56.1
"200030526","2018",44.8
"200030633","2018",30.79
"200030658","2018",43.45
"200030674","2018",39.85
"200032514","2018",14.11
"200033025","2018",51.72
"200033090","2018",11.04
"200033116","2018",15.4
"200033173","2018",21.41
"200033181","2018",36.62
"200033207","2018",25.99
"200033298","2018",63.37
"200033579","2018",48.66
"200033827","2018",32.51
"200033868","2018",24.46
"200034023","2018",29.68
"200034031","2018",48.29
"200034049","2018",49.55
"200034056","2018",43.89
"200034064","2018",65.72
"200034098","2018",26.96
"200034130","2018",31.12
"200034197","2018",51.01
"200034205","2018",36.38
"200034270","2018",39.23
"200034379","2018",35.57
"200034411","2018",38.92
"200034601","2018",41.88
"200034635","2018",40.91
"200034692","2018",28.46
"200034700","2018",36.07
"200034718","2018",59.36
"200034726","2018",53.98
"200034825","2018",34.69
"200034833","2018",42.16
"200034874","2018",65.55
"200034882","2018",16.95
"200034957","2018",36.68
"200035087","2018",20.73
"200035103","2018",86.43
"200035111","2018",72.74
"200035129","2018",33.83
"200035137","2018",35
"200035202","2018",33.57
"200035319","2018",37.72
"200035327","2018",67.45
"200035442","2018",45.48
"200035459","2018",44.08
"200035533","2018",29.27
"200035541","2018",52.07
"200035632","2018",52.74
"200035665","2018",44.49
"200035707","2018",37.35
"200035715","2018",36.8
"200035723","2018",40.71
"200035731","2018",39.09
"200035756","2018",58.14
"200035764","2018",24.07
"200035772","2018",42.55
"200035814","2018",54.9
"200035848","2018",35.1
"200035855","2018",24.38
"200035863","2018",34.79
"200035970","2018",36.68
"200036069","2018",66.33
"200036077","2018",29.5
"200036135","2018",15.83
"200036150","2018",54.43
"200036465","2018",44.57
"200036473","2018",42.37
"200036499","2018",30.1
"200036523","2018",36.68
"200036549","2018",35.05
"200036572","2018",52.31
"200037059","2018",34.16
"200037133","2018",34.44
"200038958","2018",32.96
"200038990","2018",38.82
"200039022","2018",31.86
"200039055","2018",49.06
"200039063","2018",52.54
"200039204","2018",54.25
"200039519","2018",64.99
"200039642","2018",46.02
"200039709","2018",41.5
"200039758","2018",34.91
"200039808","2018",45.06
"200039824","2018",47.55
"200039832","2018",38.23
"200039857","2018",33.99
"200039865","2018",27.01
"200039907","2018",32.5
"200039915","2018",1.38
"200039931","2018",36.68
"200039949","2018",28.66
"200040038","2018",33.14
"200040095","2018",59.51
"200040111","2018",41.2
"200040137","2018",40.75
"200040178","2018",27.7
"200040202","2018",37.91
"200040210","2018",35.29
"200040244","2018",43.43
"200040251","2018",36.91
"200040277","2018",32.83
"200040293","2018",47.89
"200040350","2018",35.2
"200040384","2018",59.96
"200040392","2018",29.91
"200040400","2018",50.48
"200040418","2018",53.53
"200040426","2018",40.69
"200040442","2018",39.25
"200040459","2018",45.63
"200040475","2018",36.85
"200040491","2018",35.78
"200040509","2018",29.57
"200040558","2018",32.62
"200040566","2018",43.66
"200040574","2018",31.39
"200040590","2018",35.55
"200040624","2018",36.06
"200040657","2018",26.9
"200040681","2018",22.18
"200040715","2018",37.13
"200040764","2018",29.75
"200040772","2018",26.49
"200040798","2018",22.48
"200040814","2018",42.01
"200040830","2018",35.19
"200040889","2018",63.3
"200040905","2018",42.84
"200040947","2018",35.17
"200040954","2018",49.09
"200041010","2018",27.39
"200041051","2018",60.88
"200041150","2018",29.61
"200041168","2018",34.25
"200041283","2018",45.46
"200041317","2018",38.21
"200041325","2018",29.66
"200041333","2018",47.55
"200041366","2018",41.87
"200041416","2018",39.45
"200041440","2018",49.56
"200041465","2018",44.41
"200041499","2018",36.6
"200041507","2018",35.04
"200041515","2018",32.48
"200041523","2018",31.58
"200041556","2018",36.68
"200041572","2018",55.83
"200041614","2018",38.94
"200041622","2018",67.88
"200041630","2018",42.11
"200041689","2018",43.47
"200041721","2018",37.15
"200041762","2018",29.98
"200041788","2018",40.38
"200041853","2018",69.98
"200041861","2018",41.76
"200041879","2018",61.03
"200041887","2018",36.68
"200041960","2018",37.51
"200041994","2018",49.31
"200042000","2018",36.68
"200042174","2018",39.93
"200042182","2018",42.33
