"codreg","libreg","year0","value0","year1","value1"
"94","Corse","1999-2009",1.61,"2009-2014",1.17
"93","Provence-Alpes-Côte d''Azur","1999-2009",0.59,"2009-2014",0.12
"84","Auvergne-Rhône-Alpes","1999-2009",0.35,"2009-2014",0.36
"76","Occitanie","1999-2009",1.08,"2009-2014",0.75
"75","Nouvelle-Aquitaine","1999-2009",0.80,"2009-2014",0.58
"53","Bretagne","1999-2009",0.67,"2009-2014",0.48
"52","Pays de la Loire","1999-2009",0.50,"2009-2014",0.44
"44","Grand Est","1999-2009",-0.08,"2009-2014",-0.19
"32","Hauts-de-France","1999-2009",-0.33,"2009-2014",-0.25
"28","Normandie","1999-2009",-0.03,"2009-2014",-0.07
"27","Bourgogne-Franche-Comté","1999-2009",0.12,"2009-2014",-0.06
"24","Centre-Val de Loire","1999-2009",0.17,"2009-2014",0.10
"11","Île-de-France","1999-2009",-0.23,"2009-2014",-0.43
"06","Mayotte","1999-2009",,"2009-2014",
"04","La Réunion","1999-2009",0.06,"2009-2014",-0.57
"03","Guyane","1999-2009",0.97,"2009-2014",0.00
"02","Martinique","1999-2009",-0.33,"2009-2014",-1.10
"01","Guadeloupe","1999-2009",-0.56,"2009-2014",-0.67
